ID,Label (description),Category,EcoSIM Other Names,EcoSIM Variable Name,File Name,Definition,Comment,Related Synonyms,Exact Synonyms,Type,DbXrefs,has_units,qualifiers,attributes,measured_ins,measurement_ofs,contexts,Parents
ID,LABEL,SC %,A oio:hasRelatedSynonym SPLIT=|,A oio:hasRelatedSynonym ,A rdfs:comment,A IAO:0000115,A rdfs:comment,A oio:hasRelatedSynonym SPLIT=|,A oio:hasExactSynonym SPLIT=|,TYPE,AI oio:hasDbXref SPLIT=|,AI ECOSIM:has_unit SPLIT=|,AI ECOSIM:Qualifier SPLIT=|,AI ECOSIM:Attribute SPLIT=|,AI ECOSIM:measured_in SPLIT=|,AI ECOSIM:measurement_of SPLIT=|,AI ECOSIM:Context SPLIT=|,SC % SPLIT=|
ECOSIM:0000000,variable,,,,,,root class of ontology,,,Class,,,,,,,,
ECOSIM:0000001,ecosystem net radiation,ecosim biogeochemical flux type,,Eco_NetRad_col,EcosimBGCFluxType.txt,,,,,Class,,MJ d-2 h-1,,,,,,
ECOSIM:0000002,ecosystem latent heat flux,ecosim biogeochemical flux type,,Eco_Heat_Latent_col,EcosimBGCFluxType.txt,,,,,Class,,MJ d-2 h-1,,,,,,
ECOSIM:0000003,ecosystem sensible heat flux,ecosim biogeochemical flux type,,Eco_Heat_Sens_col,EcosimBGCFluxType.txt,,,,,Class,,MJ d-2 h-1,,,,,,
ECOSIM:0000004,ecosystem storage heat flux,ecosim biogeochemical flux type,,Eco_Heat_GrndSurf_col,EcosimBGCFluxType.txt,,,,,Class,,MJ d-2 h-1,,,,,,
ECOSIM:0000005,cumulative ecosystem GPP,ecosim biogeochemical flux type,,Eco_GPP_CumYr_col,EcosimBGCFluxType.txt,,,,,Class,,g d-2,,,,,,
ECOSIM:0000006,cumulative ecosystem autotrophic respiration,ecosim biogeochemical flux type,,Eco_AutoR_CumYr_col,EcosimBGCFluxType.txt,,,,,Class,,gC d-2,,,,,,
ECOSIM:0000007,cumulative ecosystem NPP,ecosim biogeochemical flux type,,Eco_NPP_CumYr_col,EcosimBGCFluxType.txt,,,,,Class,,gC d-2,,,,,,
ECOSIM:0000008,cumulative ecosystem heterotrophic respiration,ecosim biogeochemical flux type,,Eco_HR_CumYr_col,EcosimBGCFluxType.txt,,,,,Class,,gC d-2,,,,,,
ECOSIM:0000009,heterotrophic respiration as CO2,ecosim biogeochemical flux type,,ECO_HR_CO2_col,EcosimBGCFluxType.txt,,,,,Class,,gC d-2 hr-1,,,,,,
ECOSIM:0000010,Vertically resolved heterotrophic respiraiton as CO2,ecosim biogeochemical flux type,,ECO_HR_CO2_vr,EcosimBGCFluxType.txt,,,,,Class,,gC/d2/hr,,,,,,
ECOSIM:0000011,heterotrophic respiration as CH4,ecosim biogeochemical flux type,,ECO_HR_CH4_vr,EcosimBGCFluxType.txt,,,,,Class,,gC d-2,,,,,,
ECOSIM:0000012,heterotrophic respiration as CH4,ecosim biogeochemical flux type,,ECO_HR_CH4_col,EcosimBGCFluxType.txt,,,,,Class,,gC d-2,,,,,,
ECOSIM:0000013,ecosystem harvest,ecosim biogeochemical flux type,,EcoHavstElmnt_CumYr_col,EcosimBGCFluxType.txt,"Ecosystem harvest refers to the removal of biological products (like timber, fodder, firewood, biofuels, and non-timber forest products) from an ecosystem. It is a form of ecosystem service and is critical to many human livelihoods and economies worldwide. In the context of an earth system model, ecosystem harvest is important to consider as it can significantly impact biodiversity, vegetation structure, and biogeochemical cycles.",,,,Class,,gC d-2,,Harvest,,,,
ECOSIM:0000014,total NH4 net mineraln (-ve) or immobiln (+ve),ecosim biogeochemical flux type,,NetNH4Mineralize_CumYr_col,EcosimBGCFluxType.txt,,,,,Class,,gN d-2,,,,,,
ECOSIM:0000015,total H2PO4 net mineraln (-ve) or immobiln (+ve),ecosim biogeochemical flux type,,NetPO4Mineralize_CumYr_col,EcosimBGCFluxType.txt,,,,,Class,,gP d-2,,,,,,
ECOSIM:0000016,total net CO2 fixation,ecosim biogeochemical flux type,,Canopy_NEE_col,EcosimBGCFluxType.txt,,,,,Class,,gC d-2 h-1,,,,,,
ECOSIM:0000017,total LitrFall chemical elements,ecosim biogeochemical flux type,,LitrFallStrutElms_col,EcosimBGCFluxType.txt,,,,,Class,,g d-2 h-1,,,,,,
ECOSIM:0000018,ecosystem respiration,ecosim biogeochemical flux type,,ECO_ER_col,EcosimBGCFluxType.txt,,,,,Class,,gC d-2 h-1,,,,,,
ECOSIM:0000019,cumulative NBP,ecosim biogeochemical flux type,,Eco_NBP_CumYr_col,EcosimBGCFluxType.txt,,,,,Class,,gC d-2,,,,,,
ECOSIM:0000020,"Current HPO4 demand in non-band by all microbial,root,myco populations",ecosim biogeochemical flux type,,REcoH1PO4DmndSoil_vr,EcosimBGCFluxType.txt,,,,,Class,,gN d-2 h-1,,,,,,
ECOSIM:0000021,"previous time step HPO4 demand in non-band by all microbial,root,myco populations",ecosim biogeochemical flux type,,RH1PO4EcoDmndSoilPrev_vr,EcosimBGCFluxType.txt,,,,,Class,,gN d-2 h-1,,,,,,
ECOSIM:0000022,"Current HPO4 demand in band by all microbial,root,myco populations",ecosim biogeochemical flux type,,REcoH1PO4DmndBand_vr,EcosimBGCFluxType.txt,,,,,Class,,gN d-2 h-1,,,,,,
ECOSIM:0000023,"Previous time step HPO4 demand in band by all microbial,root,myco populations",ecosim biogeochemical flux type,,RH1PO4EcoDmndBandPrev_vr,EcosimBGCFluxType.txt,,,,,Class,,gN d-2 h-1,,,,,,
ECOSIM:0000024,rate constants for decline in urea hydrolysis inhibition,solute parameters for geochemistry modeling,,RUreaInhibtorConst,SoluteParMod.txt,,,,,Class,,h^-1,,,,,,
ECOSIM:0000025,equilibrium constant for H2O=H(+)+OH(-),solute parameters for geochemistry modeling,,DPH2O,SoluteParMod.txt,,,,,Class,,mol^2 m^-6,,,,,,
ECOSIM:0000026,equilibrium constant for AlOH3(s)=Al(3+)+3OH(-),solute parameters for geochemistry modeling,,SPALO,SoluteParMod.txt,,,,,Class,,mol^3 m^-9,,,,,,
ECOSIM:0000027,equilibrium constant for FeOH3(s)=Fe(3+)+3OH(-),solute parameters for geochemistry modeling,,SPFEO,SoluteParMod.txt,,,,,Class,,mol^3 m^-9,,,,,,
ECOSIM:0000028,equilibrium constant for CaCO3(s)=Ca(2+)+CO3(2-),solute parameters for geochemistry modeling,,SPCAC,SoluteParMod.txt,,,,,Class,,mol m^-3,,,,,,
ECOSIM:0000029,equilibrium constant for CaSO4(s)=Ca(2+)+SO4(2-),solute parameters for geochemistry modeling,,SPCAS,SoluteParMod.txt,,,,,Class,,mol m^-3,,,,,,
ECOSIM:0000030,equilibrium constant for AlPO4(s)=Al(3+)+PO4(3-),solute parameters for geochemistry modeling,,SPALP,SoluteParMod.txt,,,,,Class,,mol m^-3,,,,,,
ECOSIM:0000031,equilibrium constant for FePO4(s)=Fe(3+)+PO4(3-),solute parameters for geochemistry modeling,,SPFEP,SoluteParMod.txt,,,,,Class,,mol m^-3,,,,,,
ECOSIM:0000032,equilibrium constant for Ca(H2PO4)2(s)=Ca(2+)+2H2PO4(-),solute parameters for geochemistry modeling,,SPCAM,SoluteParMod.txt,,,,,Class,,mol^3 m^-9,,,,,,
ECOSIM:0000033,equilibrium constant for CaHPO4(s)=Ca(2+)+HPO4(2-),solute parameters for geochemistry modeling,,SPCAD,SoluteParMod.txt,,,,,Class,,mol^3 m^-9,,,,,,
ECOSIM:0000034,"equilibrium constant for hydroxyapatite,Ca5(PO4)3OH(s)=5Ca(2+)+3PO4(3-)+OH(-)",solute parameters for geochemistry modeling,,SPCAH,SoluteParMod.txt,,,,,Class,,mol^8 m^-24,,,,,,
