ID,label,definition,parent
ID,A rdfs:label,A IAO:0000115,SC %
ECOSIMCONCEPT:Air,Air,"The mixture of gases comprising the Earth's atmosphere,",ECOSIMCONCEPT:PhysicalEntity
ECOSIMCONCEPT:Al,Aluminum,"A metallic chemical element with symbol Al and atomic number 13,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:AlOH,Aluminum hydroxide,"An inorganic compound with the formula Al(OH)3,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:AlOH2,Aluminum dihydroxide,"A chemical compound with formula Al(OH)2, ",ECOSIMCONCEPT:MaterialEntity
ECOSIMCONCEPT:AlOH3,Aluminum trihydroxide,"A chemical compound with formula Al(OH)3,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:AlOH4,Aluminum tetrahydroxide,"A chemical compound with formula Al(OH)4,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:AlSO4,Aluminum sulfate,"A chemical compound with the formula Al2(SO4)3,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:Ammonium,Ammonium,"A positively charged polyatomic ion with the chemical formula NH4+,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:AmmoniumUptake,Ammonium uptake,"The process by which ammonium ions are absorbed from the soil by plant roots,",ECOSIMCONCEPT:Process
ECOSIMCONCEPT:AmmoniumUptakeRate,Ammonium uptake rate,"The rate at which ammonium ions are absorbed from the soil by plant roots,",ECOSIMCONCEPT:Process
ECOSIMCONCEPT:Aqueous,Aqueous,"Of, relating to, or resembling water,",ECOSIMCONCEPT:PhysicalEntity
ECOSIMCONCEPT:Atmosphere,Atmosphere,"The envelope of gases surrounding the earth or another planet,",ECOSIMCONCEPT:PhysicalEntity
ECOSIMCONCEPT:Bacteria,Bacteria,"Microscopic unicellular organisms, typically having cell walls but lacking organelles and an organized nucleus,",ECOSIMCONCEPT:Organismal
ECOSIMCONCEPT:Branch,Branch,"A woody part of a tree arising from the trunk and dividing into limbs and smaller branches,",ECOSIMCONCEPT:Organismal
ECOSIMCONCEPT:BranchElement,Branch element,"A modeled branch component in a plant or tree,",ECOSIMCONCEPT:Organismal
ECOSIMCONCEPT:BranchHusk,Branch husk,"The outer protective layer of a branch,",ECOSIMCONCEPT:Organismal
ECOSIMCONCEPT:BranchLeafElement,Branch leaf element,"The modeled leaf component attached to a branch element,",ECOSIMCONCEPT:Organismal
ECOSIMCONCEPT:BranchPlusStalk,Branch plus stalk,"The modeled branch and stalk biomass in crops,",ECOSIMCONCEPT:Organismal
ECOSIMCONCEPT:BranchShoot,Branch shoot,"The above-ground woody portion of a branch with leaves and reproductive structures,",ECOSIMCONCEPT:Organismal
ECOSIMCONCEPT:C4Carboxylation,C4 carboxylation,"The enzymatic addition of carbon dioxide to a C4 organic compound,",ECOSIMCONCEPT:Process
ECOSIMCONCEPT:C4CarboxylationRate,C4 carboxylation rate,"The rate at which carbon dioxide is enzymatically added to C4 organic compounds,",ECOSIMCONCEPT:Process
ECOSIMCONCEPT:CH4,Methane,"A colorless, odorless gas with chemical formula CH4, the main component of natural gas,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:CHPO4,Calcium hydrogen phosphate,"A calcium phosphate mineral with formula CaHPO4,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:CO2,Carbon dioxide,"A colorless, odorless gas with chemical formula CO2,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:CO2CarboxylationRate,Carbon dioxide carboxylation rate,"The rate at which carbon dioxide is enzymatically added to organic compounds by rubisco,",ECOSIMCONCEPT:Process
ECOSIMCONCEPT:CO3,Carbonate,"A carbon oxoanion with chemical formula CO3(2-),",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:Ca,Calcium,"A chemical element with symbol Ca and atomic number 20,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:CaCO3,Calcium carbonate,"A chemical compound with formula CaCO3,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:CaH2PO4,Calcium dihydrogen phosphate,"An inorganic compound with the formula Ca(H2PO4)2, ",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:CaHCO3,Calcium bicarbonate,"A chemical compound with formula Ca(HCO3)2,",ECOSIMCONCEPT:MaterialEntity
ECOSIMCONCEPT:CaOH,Calcium hydroxide,"An inorganic compound with the chemical formula Ca(OH)2,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:CaPO4,Calcium phosphate,"An umbrella term for a group of minerals containing calcium and phosphate,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:CaSO4,Calcium sulfate,"A chemical compound with the formula CaSO4,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:Canopy,Canopy,"The uppermost layer of vegetation in a forest or crop,",ECOSIMCONCEPT:Organismal
ECOSIMCONCEPT:CanopyShootCarbon,Canopy shoot carbon,"The carbon in the above-ground portion of the plant canopy,",ECOSIMCONCEPT:PhysicalEntity
ECOSIMCONCEPT:Carbon,Carbon,"A chemical element with symbol C and atomic number 6,",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:CarboxylaseActivity,Carboxylase activity,"The catalytic activity of enzymes that add carbon dioxide to organic substrates,",ECOSIMCONCEPT:Process
ECOSIMCONCEPT:Ch4Emission,Methane emission,"The release of methane gas into the atmosphere,",ECOSIMCONCEPT:Process
ECOSIMCONCEPT:Cl,Chlorine,"A chemical element with symbol Cl and atomic number 17, ",ECOSIMCONCEPT:ChemicalEntity
ECOSIMCONCEPT:Clay,Clay,"A stiff, sticky fine-grained earth,",ECOSIMCONCEPT:PhysicalEntity
ECOSIMCONCEPT:DIC,Dissolved inorganic carbon,"Carbon dioxide and bicarbonate and carbonate ions dissolved in water,",ECOSIMCONCEPT:PhysicalEntity
ECOSIMCONCEPT:DIP,Dissolved inorganic phosphorus,"Orthophosphate ions dissolved in water,",ECOSIMCONCEPT:PhysicalEntity
